Date,Price,Open,High,Low,Vol.,Change
03/14/2019,1295.1,1309.5,1310.3,1292.5,248.21K,-1.08%
03/13/2019,1309.3,1301.8,1311.6,1300.6,214.24K,0.86%
03/12/2019,1298.1,1293.6,1302.6,1292,203.89K,0.54%
03/11/2019,1291.1,1298.2,1299.2,1290.6,196.86K,-0.63%
03/08/2019,1299.3,1286.7,1301.3,1285.6,283.84K,1.03%
03/07/2019,1286.1,1287.3,1289.6,1280.8,257.92K,-0.12%
03/06/2019,1287.6,1288.8,1291.8,1284.3,192.93K,0.23%
03/05/2019,1284.7,1287.8,1290.6,1282,216.93K,-0.22%
03/04/2019,1287.5,1294.4,1298.1,1283.8,268.39K,-0.90%
03/01/2019,1299.2,1315.5,1316.5,1291.3,343.47K,-1.28%
02/28/2019,1316.1,1321.7,1328.9,1314,252.24K,-0.39%
02/27/2019,1321.2,1331,1332,1318.4,198.04K,-0.31%
02/26/2019,1325.3,1326.6,1329.1,1322.9,0.94K,-0.09%
02/25/2019,1326.5,1327,1331.6,1324.3,0.67K,-0.24%
02/22/2019,1329.7,1323.4,1332.2,1321.4,0.59K,0.39%
02/21/2019,1324.6,1338.3,1339.7,1320.8,1.39K,-1.45%
02/20/2019,1344.1,1339.5,1345.7,1335.8,1.34K,0.25%
02/19/2019,1340.8,1322,1340.8,1320.9,1.63K,-0.30%
02/18/2019,1344.8,1325,1345,1323.8,348.64K,1.95%
02/15/2019,1319.1,1312.7,1322.2,1312.2,1.03K,0.59%
02/14/2019,1311.3,1307.5,1314.6,1302.7,0.87K,-0.08%
02/13/2019,1312.4,1311.7,1318.7,1305.5,0.83K,0.08%
02/12/2019,1311.3,1307.6,1315.4,1307.6,0.46K,0.16%
02/11/2019,1309.2,1315.5,1315.5,1304.6,0.52K,-0.51%
02/08/2019,1315.9,1311.3,1316.6,1309.4,0.43K,0.33%
02/07/2019,1311.6,1308,1313,1304,0.98K,-0.01%
02/06/2019,1311.7,1316.4,1316.9,1307.4,0.56K,-0.36%
02/05/2019,1316.5,1313.5,1318.2,1312.2,0.28K,-0.01%
02/04/2019,1316.6,1319.6,1320.2,1310,0.98K,-0.20%
02/01/2019,1319.3,1323.2,1325.1,1317.8,1.16K,-0.23%
01/31/2019,1322.3,1321.8,1328,1319.4,1.43K,0.72%
01/30/2019,1312.8,1313.4,1326.8,1311.1,2.84K,0.30%
01/29/2019,1308.9,1302.5,1310.8,1301.7,213.61K,0.45%
01/28/2019,1303.1,1302.3,1303.7,1296.5,243.07K,0.39%
01/25/2019,1298.1,1280.1,1303.4,1278.9,303.84K,1.43%
01/24/2019,1279.8,1282.3,1283.9,1275.3,225.77K,-0.33%
01/23/2019,1284,1284.6,1286,1277.7,217.13K,0.05%
01/22/2019,1283.4,1280.7,1285,1276,318.85K,0.00%
01/21/2019,1283.4,1280.7,1285,1276,318.85K,0.06%
01/18/2019,1282.6,1291.9,1292.2,1280.1,225.57K,-0.75%
01/17/2019,1292.3,1293.9,1295,1288.3,191.98K,-0.12%
01/16/2019,1293.8,1289.6,1295.4,1287.6,181.39K,0.42%
01/15/2019,1288.4,1292.4,1294.8,1286.5,242.07K,-0.22%
01/14/2019,1291.3,1288,1296.6,1287.7,221.89K,0.14%
01/11/2019,1289.5,1287.6,1295.7,1287,210.64K,0.16%
01/10/2019,1287.4,1294.7,1298,1286.7,239.92K,-0.36%
01/09/2019,1292,1286.1,1295,1280.9,245.97K,0.47%
01/08/2019,1285.9,1289.9,1291.4,1280.2,221.92K,-0.31%
01/07/2019,1289.9,1287,1297,1284.1,204.68K,0.32%
01/04/2019,1285.8,1296.5,1300.4,1278.1,316.06K,-0.70%
01/03/2019,1294.8,1288.5,1296.9,1286.4,244.54K,0.83%
01/02/2019,1284.1,1285,1291,1280.6,235.33K,0.22%
12/31/2018,1281.3,1283,1286.5,1279.7,113.26K,-0.13%
12/28/2018,1283,1278,1284.7,1276.5,162.73K,0.44%
